,Company,TypeName,Inches,Ram,Gpu,OpSys,Weight,Price,Touch_Screen,IPS_Screen,HD_Screen,X_Res,Y_Res,Px_price_Index,Cpu_Brand,Processor,Memory_GB,HDD,SSD
40,Asus,Notebook,15.6,4,Intel HD Graphics 620,Linux,2.0,20725.92,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,1000,1,0
41,Dell,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows 10,2.65,79866.72,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,1,1
42,Asus,Notebook,15.6,8,Nvidia GeForce 940MX,Linux,2.3,27864.9072,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i5,1000,1,0
43,Acer,Notebook,15.6,4,Intel UHD Graphics 620,Windows 10,2.2,36336.96,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
44,Dell,2 in 1 Convertible,17.3,12,Nvidia GeForce 150MX,Windows 10,2.77,53226.72,1,0,1,1920,1080,127.33567457123111,Intel,Intel Core i5,1000,1,0
45,Apple,Ultrabook,13.3,8,Intel Iris Graphics 540,macOS,1.37,75604.32,0,1,0,2560,1600,226.98300468106115,Intel,Intel Core i5,256,0,1
47,Asus,Gaming,17.3,8,AMD Radeon RX 580,Windows 10,3.2,69210.72,0,0,1,1920,1080,127.33567457123111,AMD,AMD Processor,256,1,1
48,Dell,Notebook,15.6,4,AMD Radeon R5 M430,Windows 10,2.3,34045.92,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
49,Asus,Notebook,17.3,4,Nvidia GeForce 920MX,Windows 10,2.8,24828.48,0,0,0,1366,768,90.58340172449303,Intel,Other Intel Processor,1000,1,0
51,Acer,Notebook,15.6,8,Nvidia GeForce MX150,Windows 10,2.2,44808.48,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
52,HP,Notebook,15.6,4,AMD Radeon R4 Graphics,Windows 10,1.86,21231.5472,0,0,1,1920,1080,141.21199808219862,AMD,AMD Processor,256,0,1
53,HP,Notebook,13.3,8,Intel UHD Graphics 620,Windows 10,1.49,58767.84,0,0,1,1920,1080,165.6321180513006,Intel,Intel Core i7,512,0,1
54,Acer,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,2.4,20459.52,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i3,1000,1,0
55,Dell,Notebook,15.6,8,AMD Radeon 520,Windows 10,2.13,40908.384,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
56,HP,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,1.91,23389.92,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,128,0,1
57,Asus,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,2.0,31232.2032,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i5,256,0,1
58,MSI,Gaming,17.3,16,Nvidia GeForce GTX 1070,Windows 10,2.43,130482.72,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i7,256,1,1
59,Asus,Notebook,15.6,4,Intel HD Graphics 520,Linux,2.0,22111.2,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,256,0,1
60,Dell,Notebook,17.3,16,AMD Radeon 530,Windows 10,2.8,69210.72,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i7,256,1,1
61,Dell,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows 10,1.7,46833.12,0,0,1,1920,1080,157.3505121487356,Intel,Intel Core i5,256,0,1
62,Lenovo,Notebook,14.0,8,Intel HD Graphics 620,No OS,1.7,31914.72,0,1,1,1920,1080,157.3505121487356,Intel,Intel Core i3,256,0,1
63,Asus,Notebook,14.0,8,Intel UHD Graphics 620,Windows 10,1.4,50136.48,0,0,1,1920,1080,157.3505121487356,Intel,Intel Core i5,256,0,1
64,HP,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,1.86,36763.2,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
65,Asus,Ultrabook,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,105654.24,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,512,0,1
66,HP,Notebook,15.6,4,AMD Radeon 520,Windows 10,1.86,23373.4032,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i3,500,1,0
67,HP,Notebook,14.0,4,Intel HD Graphics 400,Windows 10,1.44,12201.12,0,0,0,1366,768,111.93520355955211,Intel,Other Intel Processor,32,0,1
68,Lenovo,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,1.9,29250.72,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,1000,1,0
69,Asus,Gaming,17.3,12,Nvidia GeForce GTX 1050 Ti,Linux,3.0,50562.72,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i7,1000,1,0
70,Microsoft,Ultrabook,13.5,4,Intel HD Graphics 620,Windows 10 S,1.252,58021.92,1,0,0,2256,1504,200.84255993695703,Intel,Intel Core i5,128,0,1
71,Dell,Ultrabook,13.3,64,AMD Radeon 530,Windows 10,1.4,50882.4,0,1,1,1920,1080,165.6321180513006,Intel,Intel Core i7,256,0,1
72,Dell,Notebook,15.6,8,AMD Radeon 530,Windows 10,2.2,46353.6,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
73,MSI,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows 10,2.7,58341.6,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i5,128,1,1
74,Acer,Notebook,14.0,8,Intel HD Graphics 520,Windows 10,2.1,20725.92,0,0,0,1366,768,111.93520355955211,Intel,Intel Core i3,1000,1,0
75,Asus,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.2,50562.72,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,1000,1,0
76,Lenovo,Notebook,15.6,8,Intel HD Graphics 620,No OS,2.2,27652.32,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,2000,1,0
77,Dell,Notebook,15.6,8,Intel UHD Graphics 620,Windows 10,2.02,45554.4,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,128,1,1
78,Acer,Notebook,15.6,4,Nvidia GeForce MX130,Windows 10,2.2,28238.4,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,1000,1,0
79,HP,Notebook,17.3,8,Nvidia GeForce 930MX,Windows 10,2.5,52054.56,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i5,128,1,1
80,Dell,Ultrabook,15.6,8,Intel UHD Graphics 620,Windows 10,1.88,58403.4048,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
81,Apple,Ultrabook,12.0,8,Intel HD Graphics 615,macOS,0.92,80452.8,0,1,0,2304,1440,226.41554716935852,Intel,Intel Core i5,512,0,1
82,HP,Notebook,14.0,8,Intel HD Graphics 620,Windows 10,1.63,45820.8,0,0,1,1920,1080,157.3505121487356,Intel,Intel Core i5,256,0,1
83,Lenovo,Notebook,15.6,4,AMD R4 Graphics,Windows 10,2.2,21258.72,0,0,1,1920,1080,141.21199808219862,AMD,AMD Processor,128,0,1
84,Acer,Notebook,15.6,4,AMD Radeon R5,Windows 10,2.1,21045.6,0,0,0,1366,768,100.45466986113651,AMD,AMD Processor,1000,1,0
85,Dell,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,71874.72,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i7,128,1,1
86,HP,Ultrabook,15.6,8,Nvidia GeForce GTX 940MX,Windows 10,1.83,37242.72,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
87,HP,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,1.96,31914.1872,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
88,Asus,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows 10,2.2,77202.72,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i7,128,1,1
89,Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows 10,1.21,87858.72,0,1,1,1920,1080,165.6321180513006,Intel,Intel Core i7,256,0,1
90,Asus,Gaming,15.6,8,AMD Radeon RX 560,Windows 10,2.45,37242.72,0,0,1,1920,1080,141.21199808219862,AMD,AMD Processor,1000,1,0
91,Acer,Notebook,15.6,2,Nvidia GeForce MX150,Windows 10,2.2,36709.92,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,1000,1,0
92,HP,Notebook,13.3,16,Intel UHD Graphics 620,Windows 10,1.49,63776.16,0,0,1,1920,1080,165.6321180513006,Intel,Intel Core i7,512,0,1
93,Dell,Gaming,15.6,8,Nvidia GeForce GTX 1060,Windows 10,2.65,63669.6,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
94,Asus,Ultrabook,14.0,8,Intel HD Graphics 620,Windows 10,1.25,55890.72,0,0,1,1920,1080,157.3505121487356,Intel,Intel Core i7,256,0,1
95,Acer,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows 10,1.5,45128.16,1,1,1,1920,1080,165.6321180513006,Intel,Intel Core i5,256,0,1
96,Dell,Notebook,15.6,8,AMD Radeon R5 M430,Linux,2.2,31962.672,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,1000,1,0
97,Dell,Notebook,15.6,4,AMD Radeon R5 M430,Linux,2.2,25840.8,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,256,0,1
98,Asus,Notebook,15.6,6,Nvidia GeForce 920M,Windows 10,2.0,30742.56,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,256,0,1
99,HP,Gaming,15.6,12,Nvidia GeForce GTX 1050,Windows 10,2.62,66546.72,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i7,128,1,1
100,HP,Notebook,15.6,8,AMD Radeon 530,Windows 10,1.91,38308.32,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
101,HP,Notebook,15.6,4,AMD Radeon R2,Windows 10,2.1,18594.72,0,0,1,1920,1080,141.21199808219862,AMD,AMD Processor,500,1,0
102,Dell,Notebook,15.6,8,AMD Radeon 520,Linux,2.2,34472.16,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,1000,1,0
103,HP,Ultrabook,13.3,8,Nvidia GeForce MX150,Windows 10,1.38,59620.32,0,1,1,1920,1080,165.6321180513006,Intel,Intel Core i7,256,0,1
104,Microsoft,Ultrabook,13.5,8,Intel HD Graphics 620,Windows 10 S,1.252,71395.2,1,0,0,2256,1504,200.84255993695703,Intel,Intel Core i5,256,0,1
105,HP,Notebook,14.0,6,Nvidia GeForce 940MX,Windows 10,1.58,35111.52,0,1,1,1920,1080,157.3505121487356,Intel,Intel Core i5,256,0,1
106,Lenovo,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,1.85,22105.872,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,1000,1,0
107,Asus,Ultrabook,14.0,8,Nvidia GeForce 940MX,Windows 10,1.3,63563.04,0,1,1,1920,1080,157.3505121487356,Intel,Intel Core i7,256,0,1
108,MSI,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,69210.72,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,1,1
109,Lenovo,Notebook,14.0,8,Intel HD Graphics 620,Windows 10,1.58,78854.4,0,1,1,1920,1080,157.3505121487356,Intel,Intel Core i7,256,0,1
110,Asus,Ultrabook,15.6,16,Nvidia GeForce MX150,Windows 10,1.5,67239.36,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,1,1
111,Dell,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,Windows 10,1.23,73473.12,1,0,1,3200,1800,276.053530085501,Intel,Intel Core i7,256,0,1
112,Lenovo,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,Windows 10,1.37,74538.72,1,1,1,1920,1080,165.6321180513006,Intel,Intel Core i5,256,0,1
113,HP,Notebook,14.0,4,Intel UHD Graphics 620,Windows 10,1.63,38468.16,0,1,0,1366,768,111.93520355955211,Intel,Intel Core i5,500,1,0
114,Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows 10,1.21,86793.12,0,1,1,1920,1080,165.6321180513006,Intel,Intel Core i5,256,0,1
116,HP,Notebook,14.0,8,Intel UHD Graphics 620,Windows 10,1.63,57755.52,0,0,1,1920,1080,157.3505121487356,Intel,Intel Core i7,512,0,1
117,Dell,Notebook,15.6,8,Nvidia GeForce 940MX,Windows 10,2.16,60223.9824,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,1,1
118,Asus,Notebook,17.3,4,Nvidia GeForce 920MX,Windows 10,2.0,30049.92,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i3,1000,1,0
119,Asus,Notebook,15.6,8,Nvidia GeForce 940MX,Windows 10,1.7,59567.04,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
120,Acer,Notebook,15.6,6,Intel HD Graphics 620,Windows 10,2.1,25521.12,1,1,1,1920,1080,141.21199808219862,Intel,Intel Core i3,1000,1,0
121,MSI,Gaming,15.6,16,Nvidia GeForce GTX 1070,Windows 10,1.8,119427.12,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,1,1
122,Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,No OS,2.2,33513.12,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
123,HP,Notebook,17.3,16,Nvidia GeForce 930MX ,Windows 10,2.5,67718.88,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i7,512,0,1
124,Acer,Notebook,15.6,4,AMD Radeon R5,Windows 10,2.1,24029.28,0,0,0,1366,768,100.45466986113651,AMD,AMD Processor,256,0,1
126,HP,Notebook,14.0,8,Intel UHD Graphics 620,Windows 10,1.63,43263.36,0,0,1,1920,1080,157.3505121487356,Intel,Intel Core i5,1000,1,0
127,Asus,Notebook,14.0,4,AMD Radeon R2,Windows 10 S,1.65,14811.3072,0,0,0,1366,768,111.93520355955211,AMD,AMD Processor,64,0,1
128,Dell,Notebook,17.3,16,AMD Radeon 530,Windows 10,2.8,74378.88,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i7,256,1,1
129,HP,Notebook,17.3,8,Intel UHD Graphics 620,Windows 10,2.5,49443.84,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i5,256,0,1
130,Dell,Notebook,15.6,8,AMD Radeon R7 M445,Windows 10,2.36,34045.3872,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i5,1000,1,0
131,Dell,Notebook,15.6,4,AMD Radeon R5 M430,Windows 10,2.2,23922.72,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,1000,1,0
132,Acer,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows 10,1.6,47099.52,0,1,1,1920,1080,157.3505121487356,Intel,Intel Core i7,256,0,1
133,Acer,Notebook,15.6,4,Nvidia GeForce MX130,Windows 10,7.2,30476.16,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,256,0,1
134,HP,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,2.05,31861.44,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i7,1000,1,0
135,HP,Notebook,14.0,8,Intel UHD Graphics 620,Windows 10,1.63,52640.64,0,0,1,1920,1080,157.3505121487356,Intel,Intel Core i7,256,0,1
136,Lenovo,Notebook,15.6,4,Intel HD Graphics 500,No OS,1.9,13445.7408,0,0,0,1366,768,100.45466986113651,Intel,Other Intel Processor,1000,1,0
137,Asus,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows 10,3.0,49976.64,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i5,128,1,1
138,Lenovo,Notebook,15.6,4,Nvidia GeForce 920MX,No OS,2.2,26586.72,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,1000,1,0
139,HP,Notebook,13.3,4,Intel HD Graphics 620,Windows 10,1.32,37242.72,0,1,1,1920,1080,165.6321180513006,Intel,Intel Core i5,256,0,1
140,Acer,Notebook,17.3,4,Nvidia GeForce MX130,Windows 10,3.0,34898.4,0,1,1,1920,1080,127.33567457123111,Intel,Intel Core i3,1000,1,0
141,Lenovo,Notebook,14.0,8,AMD Radeon RX 550,Windows 10,1.75,59461.5456,0,1,1,1920,1080,157.3505121487356,Intel,Intel Core i5,256,0,1
142,Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050M,No OS,2.4,46300.32,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
143,Toshiba,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,2.1,32074.56,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i5,500,1,0
144,HP,Notebook,15.6,4,AMD Radeon R4 Graphics,Windows 10,1.86,19660.32,0,0,0,1366,768,100.45466986113651,AMD,AMD Processor,256,0,1
145,Asus,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows 10,1.25,58554.72,0,0,1,1920,1080,157.3505121487356,Intel,Intel Core i7,256,0,1
146,HP,Ultrabook,12.5,8,Intel HD Graphics 515,Windows 10,0.97,107305.92,1,1,1,4,2160,172.8002962960423,Intel,Other Intel Processor,512,0,1
147,Asus,Notebook,15.6,4,Intel HD Graphics 500,Windows 10,2.0,18328.32,0,0,1,1920,1080,141.21199808219862,Intel,Other Intel Processor,1000,1,0
149,Acer,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,2.1,23816.16,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i3,1000,1,0
150,Dell,Gaming,15.6,16,Nvidia GeForce GTX 1050,Windows 10,2.56,66560.5728,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,512,0,1
151,Dell,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.62,47898.72,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,1000,0,0
152,Lenovo,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,1.9,26533.44,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i5,128,0,1
153,MSI,Gaming,17.3,16,Nvidia GeForce GTX 1060,Windows 10,2.8,100699.2,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i7,256,1,1
154,HP,Ultrabook,14.0,4,Intel HD Graphics 620,Windows 10,1.48,57648.96,0,0,1,1920,1080,157.3505121487356,Intel,Intel Core i5,256,0,1
155,HP,Notebook,15.6,6,AMD Radeon 520,Windows 10,1.91,32980.32,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
156,Lenovo,2 in 1 Convertible,14.0,4,Intel HD Graphics 620,Windows 10,1.74,33513.12,1,1,1,1920,1080,157.3505121487356,Intel,Intel Core i3,256,0,1
157,Asus,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,Windows 10,1.1,70063.2,1,0,1,1920,1080,165.6321180513006,Intel,Intel Core i5,256,0,1
158,Dell,2 in 1 Convertible,15.6,8,Intel UHD Graphics 620,Windows 10,1.56,55890.72,1,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
159,Toshiba,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,2.1,23816.16,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i3,500,1,0
160,Asus,Notebook,15.6,4,AMD Radeon R5 M420,Windows 10,2.03,21471.84,0,0,0,1366,768,100.45466986113651,AMD,AMD Processor,1000,1,0
161,Acer,Notebook,17.3,4,Nvidia GeForce MX150,Windows 10,3.0,42890.4,0,1,1,1920,1080,127.33567457123111,Intel,Intel Core i5,256,0,1
162,Dell,Notebook,15.6,8,AMD Radeon 520,Windows 10,2.13,38787.84,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
163,Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,57489.12,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
164,Acer,Notebook,15.6,4,Intel HD Graphics 500,Windows 10,2.1,18541.44,0,0,0,1366,768,100.45466986113651,Intel,Other Intel Processor,1000,1,0
165,MSI,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows 10,2.4,95850.72,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,1,1
166,Acer,Notebook,15.6,4,Intel HD Graphics 505,Windows 10,2.1,19367.8128,0,0,0,1366,768,100.45466986113651,Intel,Other Intel Processor,1000,1,0
167,Dell,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.56,56502.9072,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,128,1,1
168,Acer,Notebook,17.3,8,Nvidia GeForce MX150,Windows 10,3.0,45501.12,0,1,1,1920,1080,127.33567457123111,Intel,Intel Core i5,256,0,1
169,HP,Notebook,13.3,4,Intel UHD Graphics 620,Windows 10,1.49,40173.12,0,1,1,1920,1080,165.6321180513006,Intel,Intel Core i5,500,1,0
